Ranking,School,Games,Attendance ,Average
2,Texas A&M,6,630735,105123
4,LSU,7,712063,101723
6,Alabama,7,710736,101534
7,Tennessee,7,698276,99754
9,Georgia,7,649222,92746
11,Auburn,7,612157,87451
12,Florida,6,515001,85834
16,South Carolina,7,569664,81381
23,Arkansas,6,399124,6521
24,Missouri,7,456996,65285
26,Ole Miss,7,430829,61547
28,Mississippi State,7,427892,61127
30,Kentucky,7,403002,57572
