Ranking,School,Games,Attendance ,Average
3,Alabama,7,710538,101505
6,Tennessee,7,669087,95584
7,Georgia,6,556476,92746
8,LSU,7,639927,91418
10,Florida,6,524638,87440
11,Texas A&M,8,697003,87125
12,Auburn,8,685252,85657
14,South Carolina,7,576805,82401
25,Missouri,7,444532,63505
27,Arkansas,7,431174,61596
29,Kentucky,7,416303,59472
30,Ole Miss,7,415750,53393
