Ranking,School,Games,Attendance,Average
4,Alabama,7,712053,101722
5,Texas A&M,7,691612,98802
6,LSU,6,591034,98506
7,Tennessee,7,670454,95779
9,Georgia,6,556476,92746
11,Florida,6,520290,86715
13,Auburn,7,605120,86446
16,South Carolina,7,550099,78586
23,Arkansas,7,442569,63224
26,Ole Miss,7,410414,58631
27,Mississippi State,7,406703,58100
