Survey_Year,School,Male_Undergraduates,Female_Undergraduates,Total_Undergraduates,Total_Participants,Operating_Expenses_per_Participant,Total_Operating_Expenses,Total_Revenues,Total_Expenses
2016,Auburn,10026,10234,20260,120,39161,4699320,91652926,42825220
2016,LSU,10896,12140,23036,120,27851,3342125,86183249,30086567
2016,Mississippi State,7985,8149,16134,119,37929,4513562,35687282,23069814
2016,Texas A&M,22973,22002,44975,126,42102,5304848,70427183,31078112
2016,Alabama,13038,16033,29071,135,57159,7716404,108117057,62252389
2016,Tennessee,10476,10243,20719,125,31799,3974816,110673571,32600254
2016,Arkansas,9277,10497,19774,122,57375,6999794,71197898,37326361
2016,Florida,13390,17193,30583,120,69299,8315894,82791752,33692163
2016,Georgia,11219,15033,26252,128,73530,9411835,93335288,36387975
2016,Kentucky,9420,11352,20772,123,32067,3944280,36393185,25589648
2016,Ole Miss,7716,9933,17649,119,51864,6171814,62681760,30410352
2016,Missouri,11470,12590,24060,123,27118,3335459,29205904,21093796
2016,South Carolina,11018,12929,23947,121,30855,3733457,60264364,34794858
2016,Vanderbilt,3366,3442,6808,104,32089,3337269,29036478,23316024
