Viewers,School,Opponent,Date,Network
7.9M,Alabama,Michigan,9/1/12,ABC
8.5M,Florida,Florida State,11/24/12,ABC
11.3M,Alabama,LSU,11/3/12,CBS
16.2M,Alabama,Georgia,12/1/12,CBS
3.9M,Auburn,Alabama,11/24/12,CBS
4.2M,LSU,Arkansas,11/23/12,CBS
4.9M,Florida,South Carolina,10/20/12,CBS
9.6M,Alabama,Texas A&M,11/10/12,CBS
NA,Alabama,Arkansas,9/15/12,CBS
NA,Missouri,South Carolina,9/22/12,CBS
NA,Tennessee,Georgia,9/29/12,CBS
NA,Florida,LSU,10/6/12,CBS
NA,Alabama,Missouri,10/13/12,CBS
NA,Georgia,Florida,10/27/12,CBS
NA,Ole Miss,Georgia,11/3/12,CBS
NA,Arkansas,South Carolina,11/10/12,CBS
NA,Ole Miss,LSU,11/17/12,CBS
1.9M,Mississippi State,Texas A&M,11/3/12,ESPN
2.3M,Georgia,Georgia Tech,11/24/12,ESPN
2.4M,Kentucky,Louisville,9/2/12,ESPN
2.4M,Ole Miss,Texas,9/15/12,ESPN
2.5M,Auburn,Mississippi State,9/8/12,ESPN
2.6M,Mississippi State,LSU,11/10/12,ESPN
2.8M,Florida,Bowling Green,9/1/12,ESPN
2.9M,LSU,Washington,9/8/12,ESPN
3.1M,South Carolina,Clemson,11/24/12,ESPN
3.5M,Ole Miss,Alabama,9/29/12,ESPN
3.6M,Auburn,Clemson,9/1/12,ESPN
3.7M,Mississippi State,Alabama,10/27/12,ESPN
3.8M,LSU,Auburn,9/22/12,ESPN
3.9M,Tennessee,South Carolina,10/27/12,ESPN
4.0M,Georgia,South Carolina,10/6/12,ESPN
4.1M,South Carolina,Vanderbilt,8/30/12,ESPN
4.2M,LSU,Texas A&M,10/20/12,ESPN
4.2M,Alabama,Tennessee,10/20/12,ESPN
4.5M,Florida,Texas A&M,9/8/12,ESPN
5.1M,Florida,Tennessee,9/15/12,ESPN
6.0M,South Carolina,LSU,10/13/12,ESPN
1.1M,Tennessee,Mississippi State,10/13/12,ESPN2
1.1M,Tennessee,Vanderbilt,11/17/12,ESPN2
1.1M,Missouri,Texas A&M,11/24/12,ESPN2
1.7M,Georgia,Auburn,11/10/12,ESPN2
1.9M,South Carolina,Kentucky,9/29/12,ESPN2
1.9M,Arkansas,Auburn,10/6/12,ESPN2
2.3M,Missouri,Florida,11/3/12,ESPN2
4.1M,Georgia,Missouri,9/8/12,ESPN2
471K,Middle Tenn.,Mississippi State,10/20/12,ESPN2
1.5M,Tennessee,N.C. State,8/31/12,ESPNU
219K,Vanderbilt,Ole Miss,11/10/12,ESPNU
448K,Missouri,Syracuse,11/17/12,ESPNU
502K,Mississippi State,Ole Miss,11/24/12,ESPNU
99K,Vanderbilt,Wake Forest,11/24/12,ESPNU
