Viewers,School,Opponent,Date,Network
3.311M,Ole Miss,Memphis,10/17/2015,ABC
7.967M,Alabama,Wisconsin,9/5/2015,ABC
11.063M,LSU,Alabama,11/7/2015,CBS
12.760M,Alabama,Florida,12/5/2015,CBS
2.390M,Missouri,Arkansas,11/27/2015,CBS
2.571M,Georgia,Vanderbilt,9/12/2015,CBS
2.955M,Georgia,Auburn,11/14/2015,CBS
2.977M,Arkansas,Ole Miss,11/7/2015,CBS
3.163M,LSU,Ole Miss,11/21/2015,CBS
4.010M,Auburn,Louisville,9/5/2015,CBS
4.228M,Auburn,LSU,9/19/2015,CBS
4.641M,Tennessee,Florida,9/26/2015,CBS
4.884M,Georgia,Tennessee,10/10/2015,CBS
5.015M,Georgia,Florida,10/31/2015,CBS
5.403M,Alabama,Mississippi State,11/14/2015,CBS
5.761M,Alabama,Texas A&M,10/17/2015,CBS
6.965M,Tennessee,Alabama,10/24/2015,CBS
7.045M,Alabama,Georgia,10/3/2015,CBS
9.299M,Alabama,Auburn,11/28/2015,CBS
1.189M,Mississippi State,Missouri,11/5/2015,ESPN
1.736M,Florida,South Carolina,11/14/2015,ESPN
2.082M,Mississippi State,Arkansas,11/21/2015,ESPN
2.226M,Auburn,Kentucky,10/15/2015,ESPN
2.471M,Texas A&M,Arizona State,9/5/2015,ESPN
2.600M,LSU,South Carolina,10/10/2015,ESPN
2.736M,Vanderbilt,Florida,11/7/2015,ESPN
2.775M,Texas A&M,Ole Miss,10/24/2015,ESPN
2.943M,South Carolina,Clemson,11/28/2015,ESPN
3.112M,Texas A&M,Arkansas,9/26/2015,ESPN
3.121M,LSU,Mississippi State,9/12/2015,ESPN
3.189M,South Carolina,Georgia,9/19/2015,ESPN
3.204M,LSU,Syracuse,9/26/2015,ESPN
3.495M,Ole Miss,Auburn,10/31/2015,ESPN
3.601M,South Carolina,UNC,9/3/2015,ESPN
3.638M,Arkansas,LSU,11/14/2015,ESPN
3.745M,Ole Miss,Florida,10/3/2015,ESPN
4.129M,Tennessee,Oklahoma,9/12/2015,ESPN
4.280M,Florida,FSU,11/28/2015,ESPN
4.835M,Arkansas,Alabama,10/10/2015,ESPN
6.777M,Florida,LSU,10/17/2015,ESPN
7.605M,Ole Miss,Alabama,9/19/2015,ESPN
1.023M,Georgia,Ga. Tech,11/28/2015,ESPN2
1.046M,Florida,ECU,9/12/2015,ESPN2
1.348M,Tennessee,Missouri,11/21/2015,ESPN2
1.914M,Arkansas,Texas Tech,9/19/2015,ESPN2
2.164M,Mississippi State,Auburn,9/26/2015,ESPN2
2.291M,Arkansas,Tennessee,10/3/2015,ESPN2
392K,Vanderbilt,Houston,10/31/2015,ESPN2
630K,Ole Miss,Fresno State,9/12/2015,ESPN2
930K,Ole Miss,Mississippi State,11/28/2015,ESPN2
754K,Tennessee,BGSU,9/5/2015,ESPNEWS
1.247M,LSU,W. Kentucky,10/24/2015,ESPNU
296K,Texas A&M,W. Carolina,11/14/2015,ESPNU
310K,Kentucky,UL-Lafayette,9/5/2015,ESPNU
380K,South Carolina,UCF,9/26/2015,ESPNU
417K,Arkansas,UTEP,9/5/2015,ESPNU
420K,Texas A&M,Ball State,9/12/2015,ESPNU
499K,Vanderbilt,Ole Miss,9/26/2015,ESPNU
763K,LSU,E. Michigan,10/3/2015,ESPNU
844K,Tennessee,W. Carolina,9/19/2015,ESPNU
954K,Georgia,Ga. Southern,11/21/2015,ESPNU
936K,LSU,Mississippi State,9/12/2015,ESPNU
511K,Mississippi State,So. Miss,9/5/2015,FS1
