Viewers,School,Opponent,Date,Network
13.466M,Georgia,Auburn,12/2/17,CBS
13.657M,Alabama,Auburn,11/25/17,CBS
(4.032M),South Carolina,Clemson,11/25/17,ESPN
2.766M,Georgia,Georgia Tech,11/25/17,ABC
2.502M,Missouri,Arkansas,11/24/17,CBS
(2.468M),Ole Miss,Mississippi State,11/23/17,ESPN
(2.056M),Florida,Florida,11/25/17,ESPN
3.397M,Kentucky,Georgia,11/18/17,CBS
(2.946M),LSU,Tennessee,11/18/17,ESPN
1.678M,Mississippi State,Arkansas,11/18/17,CBS
(1.516M),Texas A&M,Ole Miss,11/18/17,ESPN2
(526K),Auburn,UL-Monroe,11/18/17,ESPN2
7.407M,Georgia,Auburn,11/11/17,CBS
(7.031M),Alabama,Mississippi State,11/11/17,ESPN
2.391M,Florida,South Carolina,11/11/17,CBS
(2.032M),Arkansas,LSU,11/11/17,ESPN
(222K),Texas A&M,New Mexico,11/11/17,ESPNU
6.729M,LSU,Alabama,11/4/17,CBS
3.482M,South Carolina,Georgia,11/4/17,CBS
(2.631M),Auburn,Texas A&M,11/4/17,ESPN
(793K),Florida,Missouri,11/4/17,ESPN2
(82K),Vanderbilt,WKU,11/4/17,ESPNU
3.380M,Georgia,Florida,10/28/17,CBS
(1.640M),Mississippi State,Texas A&M,10/28/17,ESPN
4.446M,Tennessee,Alabama,10/21/17,CBS
(1.891M),LSU,Ole Miss,10/21/17,ESPN
(3.866M),Arkansas,Alabama,10/14/17,ESPN
3.595M,Auburn,LSU,10/14/17,CBS
(2.532M),South Carolina,Tennessee,10/14/17,ESPN
(2.112M),Texas A&M,Florida,10/14/17,ESPN2
(4.774M),Alabama,Texas A&M,10/7/17,ESPN
4.128M,LSU,Florida,10/7/17,CBS
(1.958M),Georgia,Vanderbilt,10/7/17,ESPN
3.950M,Georgia,Tennessee,9/30/17,CBS
(3.028M),Ole Miss,Alabama,9/30/17,ESPN
(2.815M),Vanderbilt,Florida,9/30/17,ESPN
(2.383M),Mississippi State,Auburn,9/30/17,ESPN
(856K),LSU,Troy,9/30/17,ESPNU
2.993M,Alabama,Vanderbilt,9/23/17,CBS
(2.897M),Mississippi State,Georgia,9/23/17,ESPN
(2.708M),Texas A&M,Arkansas,9/23/17,ESPN
1.060M,LSU,Syracuse,9/23/17,ESPN2
503K,Auburn,Missouri,9/23/17,ESPNU
5.133M,Tennessee,Florida,9/16/17,CBS
(2.581M),LSU,Mississippi State,9/16/17,ESPN
(1.653M),Alabama,Colorado St.,9/16/17,ESPN2
1.195M,Ole Miss,Cal,9/16/17,ESPN
415K,Vanderbilt,K-State,9/16/17,ESPNU
1.195M,Georgia,Notre Dame,9/9/17,NBC
(3.504M),Auburn,Clemson,9/9/17,ESPN
2.345M,Arkansas,TCU,9/9/17,CBS
2.070M,Alabama,Fresno St.,9/9/17,ESPN2
802K,South Carolina,Missouri,9/9/17,ESPN2
353K,Texas A&M,Nicholls St.,9/9/17,ESPNU
(12.557M),Alabama,FSU,9/2/17,ABC
(7.805M),Florida,Michigan,9/2/17,ABC
(5.268M),Tennessee,Ga. Tech,9/4/17,ESPN
3.190M,Texas A&M,UCLA,9/3/17,FOX
1.763M,LSU,BYU,9/2/17,ESPN
1.718M,Georgia,App. State,9/2/17,ESPN
1.558M,South Carolina,N.C. State,9/2/17,ESPN
161K,Ole Miss,So. Alabama,9/2/17,ESPNU
