Ranking,School,Games,Attendance,Average
3,Alabama,7,712052,101722
6,Georgia,7,648922,92703
7,LSU,8,741005,92626
8,Tennessee,7,629752,89965
10,Florida,7,613182,87597
11,Texas A&M,6,522083,87014
14,Auburn,7,578521,82646
18,South Carolina,7,560008,80001
23,Arkansas,7,476321,68046
24,Missouri,7,472333,67476
30,Ole Miss,7,399462,57066
