Ranking,School,Games,Attendance,Average
3,Texas A&M,7,725354,103622
4,LSU,6,612026,102004
5,Alabama,7,707786,101112
6,Tennessee,7,704088,100584
8,Georgia,7,649222,92746
9,Florida,7,630457,90065
12,Auburn,7,612157,87451
16,South Carolina,6,472934,78822
21,Arkansas,7,471279,67326
23,Missouri,6,390720,65120
26,Mississippi State,7,432490,61784
27,Kentucky,8,490361,61295
29,Ole Miss,7,423355,60479
